group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
1,57,2,100,1.37155,NaN,NaN,88,NaN,88,89,NaN,NaN,NaN,NaN,5
1,57,3,101,4.47289,0,NaN,104,88,87,89,NaN,NaN,-1,1,0
1,57,3,102,-6.20006,-1,0,104,104,88,88,16,16,16,16,0
1,57,3,103,-3.74106,NaN,-1,NaN,NaN,104,104,NaN,NaN,NaN,NaN,0
1,57,3,104,-2.33296,-2,NaN,94,94,98,104,NaN,NaN,-10,-4,0
1,57,3,105,-2.26393,-1,-2,90,NaN,94,94,NaN,NaN,NaN,NaN,-4
1,57,3,106,2.01548,0,-1,85,90,92,94,-3,-1,-4,-2,4
1,57,3,107,-7.8366,-1,0,85,85,90,90,-5,-5,-5,-5,-1
1,57,3,108,3.98838,-3,-1,85,NaN,85,85,NaN,NaN,NaN,NaN,2
1,57,3,109,8.0764,2,-3,92,NaN,78,85,NaN,NaN,NaN,NaN,6
1,57,3,110,-5.13981,0,2,92,92,85,85,5,5,7,7,0
1,57,3,111,1.4777,1,0,92,NaN,92,92,NaN,NaN,NaN,NaN,0
1,57,3,112,-1.5213,2,1,90,NaN,87,92,NaN,NaN,NaN,NaN,0
1,57,3,113,0.73265,2,2,91,90,88,92,-4,0,-2,2,0
1,57,3,114,4.77888,2,2,86,91,90,90,-1,-1,1,1,2
1,57,3,115,2.07988,0,2,88,86,91,91,-7,-7,-5,-5,0
1,57,3,116,-6.08422,-1,0,88,88,86,86,2,2,2,2,0
1,57,3,117,-4.5479,-1,-1,88,NaN,88,88,NaN,NaN,NaN,NaN,3
1,57,3,118,0.53133,0,-1,92,NaN,89,88,NaN,NaN,NaN,NaN,2
1,57,3,119,-4.41999,-1,0,88,92,92,88,4,0,4,0,0
1,57,3,120,6.19987,1,-1,86,88,92,92,-3,-3,-4,-4,0
1,57,3,121,-1.27507,1,1,85,86,88,88,-3,-3,-2,-2,0
1,57,3,122,1.87189,1,1,85,85,86,86,-2,-2,-1,-1,0
1,57,3,123,1.87851,1,1,85,NaN,85,85,NaN,NaN,NaN,NaN,0
1,57,3,124,10.29459,2,1,85,NaN,87,85,NaN,NaN,NaN,NaN,0
1,57,3,125,-8.69626,1,2,103,NaN,89,85,NaN,NaN,NaN,NaN,0
1,57,3,126,-0.13356,1,1,106,103,98,85,17,4,18,5,1
1,57,3,127,-8.84394,1,1,97,106,103,103,2,2,3,3,0
1,57,3,128,2.27988,2,1,89,97,106,106,-10,-10,-9,-9,0
1,57,3,129,10.18081,1,2,85,89,97,97,-10,-10,-8,-8,1
1,57,3,130,6.47111,-2,1,91,85,89,89,-5,-5,-4,-4,3
1,57,3,131,2.17329,1,-2,93,91,85,85,8,8,6,6,0
1,57,3,132,1.10981,1,1,85,93,91,91,1,1,2,2,0
1,57,3,133,-5.41869,1,1,85,85,93,93,-9,-9,-8,-8,0
1,57,3,134,0.30181,1,1,80,NaN,85,85,NaN,NaN,NaN,NaN,2
1,57,3,135,4.46337,1,1,84,80,80,85,-6,-1,-5,0,1
1,57,3,136,-0.30918,0,1,84,84,80,80,3,3,4,4,0
1,57,3,137,1.58986,-1,0,84,84,84,84,0,0,0,0,4
1,57,3,138,-5.29524,0,-1,84,NaN,84,84,NaN,NaN,NaN,NaN,2
1,57,3,139,-2.42157,2,0,87,NaN,85,84,NaN,NaN,NaN,NaN,1
1,57,3,140,3.19349,1,2,90,87,80,84,1,5,3,7,0
1,57,3,141,4.24215,1,1,90,90,87,87,2,2,3,3,0
1,57,3,142,3.77395,2,1,90,NaN,90,90,NaN,NaN,NaN,NaN,2
1,57,3,143,2.12927,0,2,90,NaN,94,90,NaN,NaN,NaN,NaN,1
1,57,3,144,-5.7452,-1,0,90,NaN,98,90,NaN,NaN,NaN,NaN,0
1,57,3,145,-11.35913,-1,-1,90,NaN,100,90,NaN,NaN,NaN,NaN,1
1,57,3,146,-7.92078,-1,-1,91,NaN,94,90,NaN,NaN,NaN,NaN,0
1,57,3,147,9.93979,1,-1,85,91,83,90,2,9,1,8,0
1,57,3,148,1.67438,1,1,86,85,91,91,-7,-7,-6,-6,2
1,57,3,149,7.14212,-2,1,85,86,85,85,0,0,1,1,2
1,57,3,150,2.19108,1,-2,85,85,86,86,1,1,-1,-1,2
1,57,4,151,-7.76236,-1,1,85,NaN,85,85,NaN,NaN,NaN,NaN,3
1,57,4,152,-5.18911,1,-1,103,NaN,87,85,NaN,NaN,NaN,NaN,2
1,57,4,153,-0.51647,0,1,103,103,109,85,17,-7,18,-6,0
1,57,4,154,-3.11846,-1,0,103,NaN,103,103,NaN,NaN,NaN,NaN,2
1,57,4,155,1.7822,-1,-1,104,NaN,105,103,NaN,NaN,NaN,NaN,1
1,57,4,156,-2.37235,1,-1,102,104,102,103,2,3,1,2,1
1,57,4,157,6.85506,0,1,102,102,104,104,-3,-3,-2,-2,1
1,57,4,158,-1.02098,1,0,113,NaN,102,102,NaN,NaN,NaN,NaN,0
1,57,4,159,-1.07947,1,1,112,113,109,102,10,3,11,4,0
1,57,4,160,1.79914,1,1,112,112,113,113,-2,-2,-1,-1,0
1,57,4,161,11.26276,1,1,112,NaN,112,112,NaN,NaN,NaN,NaN,0
1,57,4,162,4.14178,1,1,112,NaN,114,112,NaN,NaN,NaN,NaN,0
1,57,4,163,3.39905,1,1,112,NaN,127,112,NaN,NaN,NaN,NaN,1
1,57,4,164,-10.30995,0,1,112,NaN,132,112,NaN,NaN,NaN,NaN,0
1,57,4,165,-4.9937,-1,0,112,NaN,136,112,NaN,NaN,NaN,NaN,0
1,57,4,166,5.01434,1,-1,121,NaN,122,112,NaN,NaN,NaN,NaN,1
